gene_id,gene_name
0,A1BG
1,AAAS
2,AACS
3,AAGAB
4,AAK1
5,AAMDC
6,AAMP
7,AAR2
8,AARS
9,AARS2
10,AARSD1
11,AASDH
12,AASDHPPT
13,AATF
14,ABCA7
15,ABCA8
16,ABCB10
17,ABCB6
18,ABCB7
19,ABCB8
20,ABCB9
21,ABCC1
22,ABCC10
23,ABCC4
24,ABCC5
25,ABCD3
26,ABCD4
27,ABCE1
28,ABCF1
29,ABCF2
30,ABCF3
31,ABCG1
32,ABHD10
33,ABHD11
34,ABHD12
35,ABHD13
36,ABHD14A
37,ABHD14B
38,ABHD16A
39,ABHD17A
40,ABHD17B
41,ABHD2
42,ABHD3
43,ABHD5
44,ABHD6
45,ABHD8
46,ABI1
47,ABI2
48,ABITRAM
49,ABL1
50,ABL2
51,ABO
52,ABR
53,ABRACL
54,ABRAXAS1
55,ABRAXAS2
56,ABT1
57,ACAA1
58,ACAA2
59,ACACA
60,ACAD10
61,ACAD8
62,ACAD9
63,ACADM
64,ACADS
65,ACADSB
66,ACADVL
67,ACAP2
68,ACAP3
69,ACAT1
70,ACAT2
71,ACBD3
72,ACBD5
73,ACBD6
74,ACCS
75,ACD
76,ACE
77,ACER3
78,ACHE
79,ACIN1
80,ACLY
81,ACO1
82,ACO2
83,ACOT12
84,ACOT13
85,ACOT7
86,ACOT8
87,ACOT9
88,ACOX1
89,ACP1
90,ACP2
91,ACP5
92,ACSF3
93,ACSL1
94,ACSL3
95,ACSL4
96,ACSM3
97,ACSS2
98,ACTB
99,ACTG1
100,ACTL6A
101,ACTN1
102,ACTN4
103,ACTR10
104,ACTR1A
105,ACTR1B
106,ACTR2
107,ACTR3
108,ACTR3B
109,ACTR3C
110,ACTR5
111,ACTR6
112,ACTR8
113,ACVR1B
114,ACVR2B
115,ACY1
116,ACYP1
117,ACYP2
118,ADA
119,ADAL
120,ADAM10
121,ADAM15
122,ADAM17
123,ADAM9
124,ADAMTS14
125,ADAMTS20
126,ADAMTS3
127,ADAMTSL4
128,ADAR
129,ADARB1
130,ADARB2
131,ADAT1
132,ADAT2
133,ADAT3
134,ADCK2
135,ADCK5
136,ADCY3
137,ADCY7
138,ADD1
139,ADD2
140,ADD3
141,ADH5
142,ADI1
143,ADIPOR1
144,ADIPOR2
145,ADK
146,ADNP
147,ADNP2
148,ADO
149,ADORA2B
150,ADPGK
151,ADPRHL2
152,ADRM1
153,ADSL
154,ADSS
155,ADTRP
156,AEBP1
157,AEBP2
158,AEN
159,AFF1
160,AFF4
161,AFG3L2
162,AFMID
163,AFTPH
164,AGA
165,AGAP1
166,AGAP3
167,AGBL5
168,AGFG1
169,AGFG2
170,AGGF1
171,AGK
172,AGL
173,AGO1
174,AGO2
175,AGO3
176,AGPAT1
177,AGPAT2
178,AGPAT3
179,AGPAT4
180,AGPAT5
181,AGPS
182,AGRN
183,AGTRAP
184,AHCTF1
185,AHCY
186,AHCYL1
187,AHDC1
188,AHI1
189,AHNAK
190,AHR
191,AHRR
192,AHSA1
193,AHSP
194,AIDA
195,AIF1
196,AIFM1
197,AIFM2
198,AIG1
199,AIMP1
200,AIMP2
201,AIP
202,AIRE
203,AK1
204,AK2
205,AK3
206,AK4
207,AKAP1
208,AKAP11
209,AKAP13
210,AKAP17A
211,AKAP8
212,AKAP8L
213,AKAP9
214,AKIP1
215,AKIRIN1
216,AKIRIN2
217,AKNA
218,AKR1A1
219,AKR1C1
220,AKR1C2
221,AKR1E2
222,AKR7A2
223,AKT1
224,AKT1S1
225,AKT2
